Equation_num_0_latex: "\genfrac{(}{)}{0.0pt}{}{n}{k}=\frac{n!}{(n-k)!k!}=\genfrac{(}{)}{0.0pt}{}{n}{n-k}"
Equation_num_0_text_0: "The formula is n choose k, which is equal to n factorial divided by the product of (n minus k) factorial and k factorial. It is also equal to n choose (n minus k)."
Equation_num_0_text_1: "We have the formula for n choose k, which can be calculated as n factorial divided by the product of (n minus k) factorial and k factorial. It is also equivalent to n choose (n minus k)."
Equation_num_0_text_2: "Let's look at the formula for n choose k. It is n factorial divided by the product of (n minus k) factorial and k factorial. Alternatively, it can be expressed as n choose (n minus k)."

Equation_num_1_latex: "\genfrac{(}{)}{0.0pt}{}{z+1}{k}=\genfrac{(}{)}{0.0pt}{}{z}{k}+\genfrac{(}{)}{0.0pt}{}{z}{k-1}"
Equation_num_1_text_0: "The expression z plus one, divided by k, is equal to z divided by k, plus z divided by k minus one."
Equation_num_1_text_1: "The fraction of z plus one over k equals the fraction of z over k plus the fraction of z over k minus one."
Equation_num_1_text_2: "To find the value of z plus one divided by k, you add the value of z divided by k to the value of z divided by k minus one."

Equation_num_2_latex: "\sum^{m}_{k=0}\genfrac{(}{)}{0.0pt}{}{z+k}{k}=\genfrac{(}{)}{0.0pt}{}{z+m+1}{m}"
Equation_num_2_text_0: "The sum from k equals zero to m of z plus k divided by k is equal to z plus m plus one divided by m."
Equation_num_2_text_1: "The sum of z plus k divided by k, where k ranges from zero to m, equals z plus m plus one divided by m."
Equation_num_2_text_2: "The sum of z plus k divided by k, as k goes from zero to m, is equal to z plus m plus one divided by m."

Equation_num_3_latex: "a+(a+d)+(a+2d)+\dots+(a+(n-1)d)=na+\tfrac{1}{2}n(n-1)d=\tfrac{1}{2}n(a+\ell)"
Equation_num_3_text_0: "The sum of a, a plus d, a plus 2d, and so on up to a plus n minus 1 times d is equal to n times a plus half times n times n minus 1 times d, which is also equal to half times n times the sum of a and ell."
Equation_num_3_text_1: "To find the sum of a series starting from a and increasing by d each time, we use the formula n times a plus half times n times n minus 1 times d. This is also equal to half times n times the sum of a and ell."
Equation_num_3_text_2: "When adding up a series that begins with a and has a common difference of d, the sum can be calculated as n times a plus half times n times n minus 1 times d. Alternatively, it is equal to half times n times the sum of a and ell."

Equation_num_4_latex: "a+ax+ax^{2}+\dots+ax^{n-1}=\frac{a(1-x^{n})}{1-x}"
Equation_num_4_text_0: "a plus a times x plus a times x squared, and so on, up to a times x to the power of n minus one, equals a times one minus x to the power of n, all divided by one minus x."
Equation_num_4_text_1: "The sum of a, a times x, a times x squared, and so on, up to a times x to the power of n minus one, is equal to a times one minus x to the power of n, divided by one minus x."
Equation_num_4_text_2: "When you add up a, a times x, a times x squared, and so on, up to a times x to the power of n minus one, you get a times one minus x to the power of n, divided by one minus x."

Equation_num_5_latex: "A_{j}=\frac{f(\alpha_{j})}{\prod\limits_{k\not=j}(\alpha_{j}-\alpha_{k})}"
Equation_num_5_text_0: "A sub j equals f of alpha sub j divided by the product over k not equal to j of alpha sub j minus alpha sub k."
Equation_num_5_text_1: "A j equals f of alpha j divided by the product over k not equal to j of alpha j minus alpha k."
Equation_num_5_text_2: "A j equals f of alpha j divided by the product of alpha j minus alpha k, where k is not equal to j."

Equation_num_6_latex: "B_{j}=\frac{f^{(n-j)}(\alpha_{1})}{(n-j)!}"
Equation_num_6_text_0: "B sub j equals f to the power of n minus j, evaluated at alpha sub 1, divided by n minus j factorial."
Equation_num_6_text_1: "B sub j equals f raised to the power of n minus j, at alpha sub 1, divided by the factorial of n minus j."
Equation_num_6_text_2: "B sub j equals f raised to the power of n minus j, evaluated at alpha sub 1, divided by the factorial of n minus j."

Equation_num_7_latex: "G=(a_{1}a_{2}\cdots a_{n})^{1/n}"
Equation_num_7_text_0: "G equals the nth root of the product of a sub 1, a sub 2, and so on up to a sub n."
Equation_num_7_text_1: "G is equal to the average of a sub 1, a sub 2, and so on up to a sub n."
Equation_num_7_text_2: "G is the geometric mean of a sub 1, a sub 2, and so on up to a sub n."

Equation_num_8_latex: "\frac{1}{H}=\frac{1}{n}\left(\frac{1}{a_{1}}+\frac{1}{a_{2}}+\dots+\frac{1}{a_{n}}\right)"
Equation_num_8_text_0: "One over H equals one over n times the sum of one over a one, one over a two, and so on, up to one over a n."
Equation_num_8_text_1: "The reciprocal of H is equal to the reciprocal of n multiplied by the sum of the reciprocals of a one, a two, and so on, up to a n."
Equation_num_8_text_2: "To find H, take the inverse of n and multiply it by the sum of the inverses of a one, a two, and so on, up to a n."

Equation_num_9_latex: "p_{1}+p_{2}+\dots+p_{n}=1"
Equation_num_9_text_0: "The sum of p sub 1, p sub 2, and so on up to p sub n equals 1."
Equation_num_9_text_1: "p sub 1 plus p sub 2 plus dot dot dot plus p sub n equals 1."
